feature,importance
CLOSED_MONTHS_BALANCE_MIN_MIN,138.2
PREV_NEW_DAYS_FIRST_AND_LAST_DUE_DIFF_MIN,138.0
PREV_NAME_CLIENT_TYPE_Refreshed_MEAN,137.6
PREV_INSTAL_PREV_NEW_PAYMENT_PERC_MEAN_MIN,137.4
PREV_CODE_REJECT_REASON_HC_MEAN,137.4
PREV_SELLERPLACE_AREA_MIN,136.0
LIVINGAPARTMENTS_AVG,135.4
PREV_PRODUCT_COMBINATION_Cash X-Sell: high_MEAN,135.4
CLOSED_NEW_BURO_AMT_ANNUITY_AMT_CREDIT_SUM_RATIO_MEAN,134.6
CCNEW_AMT_DRAWINGS_RATIO_W_PAYMENT_CURRENT_MEAN,134.4
CCNEW_AMT_RECEIVABLE_RATIO_W_PRINCIPAL_MAX,134.4
PREV_NAME_CONTRACT_TYPE_Cash loans_MEAN,133.0
CLOSED_NEW_BURO_DAYS_CREDIT_UPDATE_DAYS_ENDDATE_FACT_DIFF_MIN,133.0
ACTIVE_NEW_BURO_AMT_ANNUITY_AMT_CREDIT_SUM_LIMIT_RATIO_MAX,132.6
NAME_CONTRACT_TYPE_Revolving loans,132.6
PREV_NEW_CNT,131.4
PREV_POS_PREV_CNT_INSTALMENT_FUTURE_MAX_MAX,130.2
BURO_CNT_CREDIT_PROLONG_MEAN,129.0
ACTIVE_AMT_ANNUITY_MIN,128.8
BURO_NEW_BURO_DAYS_CREDIT_UPDATE_DAYS_ENDDATE_FACT_DIFF_MIN,128.2
PREV_PRODUCT_COMBINATION_Cash X-Sell: middle_MEAN,128.0
PREV_PRODUCT_COMBINATION_POS mobile with interest_MEAN,127.4
CLOSED_NEW_BURO_AMT_ANNUITY_AMT_CREDIT_SUM_LIMIT_RATIO_MEAN,127.2
ACTIVE_NEW_BURO_AMT_CREDIT_SUM_AMT_CREDIT_SUM_LIMIT_RATIO_MIN,127.0
PREV_NEW_DAYS_LAST_DUE_DIFF_MAX,126.8
ACTIVE_NEW_BURO_AMT_ANNUITY_AMT_CREDIT_SUM_LIMIT_RATIO_MEAN,124.4
LIVINGAPARTMENTS_MEDI,123.4
BURO_NEW_BURO_AMT_ANNUITY_AMT_CREDIT_SUM_DEBT_RATIO_MIN,122.2
ACTIVE_MONTHS_BALANCE_MIN_MIN,121.2
NEW_DEF/OBS_60,120.6
CLOSED_NEW_BURO_DAYS_CREDIT_DAYS_CREDIT_ENDDATE_DIFF_MIN,120.4
CCCNT_DRAWINGS_ATM_CURRENT_VAR,120.2
PREV_NAME_SELLER_INDUSTRY_XNA_MEAN,118.6
CCNEW_AMT_RECEIVABLE_RATIO_W_TOTAL_MEAN,115.8
CLOSED_NEW_BURO_AMT_ANNUITY_AMT_CREDIT_SUM_LIMIT_RATIO_MIN,114.6
ACTIVE_MONTHS_BALANCE_MAX_MIN,114.4
PREV_NEW_APPROVED_RATIO,114.0
FLAG_OWN_REALTY_Y,113.4
PREV_NAME_YIELD_GROUP_low_action_MEAN,111.8
PREV_NAME_GOODS_CATEGORY_Consumer Electronics_MEAN,111.4
PREV_NAME_PORTFOLIO_POS_MEAN,111.2
CCNEW_AMT_RECEIVABLE_DIFF_W_PRINCIPAL_MAX,111.0
PREV_AMT_GOODS_PRICE_MAX,110.6
APPROVED_AMT_GOODS_PRICE_MAX,109.0
PREV_NAME_GOODS_CATEGORY_Computers_MEAN,106.6
CLOSED_NEW_BURO_AMT_ANNUITY_AMT_CREDIT_SUM_RATIO_MIN,106.6
PREV_CC_PREV_NEW_AMT_BALANCE_CREDIT_LIMIT_ACTUAL_DIFF_MAX_MAX,104.8
PREV_PRODUCT_COMBINATION_Card Street_MEAN,104.6
NAME_FAMILY_STATUS_Married,104.2
CLOSED_AMT_ANNUITY_MEAN,104.0
PREV_NAME_PORTFOLIO_Cards_MEAN,103.8
